CO_CODE	DIST_CODE	SCH_CODE	TOTAL
21	1950	085	20.5
21	1950	105	17.8
21	1950	110	16.4
21	1950	150	17.8
21	1950	160	17.3
21	1950	170	18.6
21	1950	180	19.1
21	1950	185	20.7
21	1950	200	20.5
21	1950	210	21.2
21	1950	220	20.1
21	1950	225	20.3
21	1950	240	21.5
21	1950	245	18.6
21	1950	250	18.7
21	1950	260	18.6
21	1950	270	17.9
21	2280	030	20.5
21	2280	035	18.0
21	2280	040	18.1
21	2280	055	21.4
21	2280	065	20.4
21	2280	075	13.9
21	2580	040	16.0
21	2580	050	17.2
21	2580	070	20.4
21	2580	080	18.1
21	2580	085	20.3
21	2580	090	16.9
21	2580	100	19.8
21	3103	005	6.1
21	3103	050	7.3
21	3103	055	7.8
21	3103	070	8.8
21	4255	050	19.5
21	4255	070	16.9
21	4255	080	17.6
21	4255	085	17.2
21	4255	090	15.3
21	4255	110	18.9
21	5210	030	4.6
21	5210	050	14.1
21	5210	051	12.3
21	5210	080	20.5
21	5210	100	16.5
21	5210	160	14.2
21	5210	170	19.3
21	5210	190	22.9
21	5210	200	25.3
21	5210	210	16.5
21	5210	235	18.8
21	5210	250	18.3
21	5210	260	20.8
21	5210	265	16.9
21	5210	270	21.3
21	5210	280	24.8
21	5210	290	16.5
21	5210	300	21.6
21	5210	310	20.5
21	5510	030	22.2
21	5510	040	22.3
21	5510	050	20.0
21	5715	020	24.6
21	5715	025	21.2
21	5715	030	19.2
21	5715	035	22.4
21	5715	040	19.7
21	5715	050	20.2
21	5715	130	19.5
21	5715	140	17.4
21	5715	150	21.7
21	5715	160	21.7
23	0750	030	18.2
23	0750	050	17.9
23	0750	055	20.8
23	0750	057	21.0
23	0750	060	21.3
23	0970	030	20.2
23	1140	040	18.8
23	1140	050	19.2
23	1140	060	17.3
23	1170	050	25.2
23	1170	055	20.8
23	1170	056	19.3
23	1170	060	19.7
23	1170	070	22.7
23	1170	090	19.6
23	1170	100	19.4
23	1170	120	21.8
23	1170	125	19.7
23	1170	130	18.8
23	1170	138	18.4
23	1290	050	25.1
23	1290	053	16.8
23	1290	055	25.5
23	1290	057	15.5
23	1290	060	17.2
23	1290	063	17.0
23	1290	065	18.5
23	1290	090	22.6
23	1290	092	14.1
23	1290	093	18.3
23	1290	095	18.5
23	1290	100	19.1
23	1290	103	20.6
23	1290	104	19.8
23	1290	105	20.6
23	1290	150	18.3
23	1290	160	22.7
23	2150	050	21.7
23	2150	060	15.0
23	2150	070	17.1
23	2150	085	18.1
23	2370	075	22.0
23	2370	080	19.2
23	3120	050	17.2
23	3120	060	23.1
23	3120	070	21.7
23	3120	090	15.1
23	3140	050	22.7
23	3140	065	15.2
23	3140	070	19.4
23	3140	085	19.9
